team,confederation,note
USA,CONCACAF,host
Canada,CONCACAF,host
Mexico,CONCACAF,host
Argentina,CONMEBOL,
Brazil,CONMEBOL,
Uruguay,CONMEBOL,
Colombia,CONMEBOL,
Ecuador,CONMEBOL,
Paraguay,CONMEBOL,
Panama,CONCACAF,
Curaçao,CONCACAF,
Haiti,CONCACAF,
Japan,AFC,
Korea Republic,AFC,
Iran,AFC,
Australia,AFC,
Saudi Arabia,AFC,
Qatar,AFC,
Uzbekistan,AFC,
Jordan,AFC,
Iraq,AFC,inter-confederation play-off winner
New Zealand,OFC,
Morocco,CAF,
Senegal,CAF,
Egypt,CAF,
Algeria,CAF,
Tunisia,CAF,
Côte d'Ivoire,CAF,
Ghana,CAF,
South Africa,CAF,
Cabo Verde,CAF,
DR Congo,CAF,inter-confederation play-off winner
Spain,UEFA,
France,UEFA,
England,UEFA,
Portugal,UEFA,
Germany,UEFA,
Netherlands,UEFA,
Belgium,UEFA,
Croatia,UEFA,
Switzerland,UEFA,
Austria,UEFA,
Turkey,UEFA,
Scotland,UEFA,
Norway,UEFA,
Bosnia and Herzegovina,UEFA,
Sweden,UEFA,
Czechia,UEFA,
